detectorId,detectorLabel,environment,ambientRms,trials,falseDetections,falsePositiveRate,meanConfidence
dsp-v1,FFT / harmonic DSP,quiet,0.02,60,60,1,0.8656
ml-onnx-v1,Feature Conv ML,quiet,0.02,60,2,0.0333,0.09
crnn-pretrained-v1,Pretrained CRNN,quiet,0.02,60,7,0.1167,0.1677
dsp-v1,FFT / harmonic DSP,urban,0.05,60,54,0.9,0.8402
ml-onnx-v1,Feature Conv ML,urban,0.05,60,9,0.15,0.2205
crnn-pretrained-v1,Pretrained CRNN,urban,0.05,60,17,0.2833,0.3065
dsp-v1,FFT / harmonic DSP,loud-structured,0.1,60,50,0.8333,0.8258
ml-onnx-v1,Feature Conv ML,loud-structured,0.1,60,9,0.15,0.217
crnn-pretrained-v1,Pretrained CRNN,loud-structured,0.1,60,2,0.0333,0.0738
