timingJitterMs,trials,medianErrorM,p90ErrorM,medianBearingErrorDeg,p90BearingErrorDeg,within5MRate,within10MRate,medianResidualMs
0.02,300,0.21,0.35,0.05,0.11,1,1,0.509
0.1,300,0.2,0.33,0.04,0.13,1,1,0.518
0.5,300,0.28,0.6,0.05,0.21,1,1,0.573
2,300,0.88,2.03,0.18,0.62,1,1,0.517
